Celebrity name,IG profile,fb profile,Twitter profile,Gender,Age,DOB,Ethnicity,Interest,Sexual orientation,Current city
"Kapil Sharma,https://www.instagram.com/kapilsharma,https://www.facebook.com/Kapilsharmapunj,https://twitter.com/kapilsharmak9?lang=en,M,40,2/4/1981,Indian,""Acting, comedian"",Heterosexual,Mumbai",,,,,,,,,,
Luan Santana,https://www.instagram.com/luansantana,https://www.facebook.com/luansantana,https://twitter.com/luansantana,M,30.0,13/3/1991,Other(brazil),Music,Heterosexual,Brasil
Hugh Jackman,https://www.instagram.com/thehughjackman,https://www.facebook.com/HughJackman,https://twitter.com/realhughjackman,M,53.0,12/10/1968,Caucasian,Acting,Heterosexual,Australia
Travis Scott,https://www.instagram.com/travisscott/,https://www.facebook.com/travisscottlaflame,https://twitter.com/trvisxx,M,29.0,30/4/1992,African American,Music,Heterosexual,Los Angeles
Zinedine Zidane,https://www.instagram.com/zidane,https://www.facebook.com/profile.php?id=100044959302957,https://twitter.com/officialzzidane,M,49.0,23/6/1972,Caucasian,Sport,Heterosexual,Spain
Sachin Tendulkar,https://www.instagram.com/sachintendulkar,https://www.facebook.com/SachinTendulkar/,https://twitter.com/sachin_rt,M,48.0,24/4/1973,Indian,Sport,Heterosexual,mumbai
Eden Hazard,https://www.instagram.com/hazardeden_10,https://www.facebook.com/edenhazard,https://twitter.com/hazardeden10,M,30.0,7/1/1991,Caucasian,Sport,Heterosexual,London
Niall Horan,https://www.instagram.com/niallhoran,https://www.facebook.com/Niallofficial,https://twitter.com/niallofficial,M,28.0,13/9/1993,Caucasian,Music,Heterosexual,Los Angeles
Toni Kroos,https://www.instagram.com/toni.kr8s,https://www.facebook.com/tonikroos,https://twitter.com/tonikroos,M,31.0,4/1/1990,Caucasian,Sport,Heterosexual,Madrid
Jordan clarksons,https://www.instagram.com/jordanclarksons,https://www.facebook.com/OfficialJordanClarkson,https://twitter.com/jordanclarksons,M,29.0,7/6/1992,African American,Sport,Heterosexual,Los Angeles
50 cent,https://www.instagram.com/50cent,https://www.facebook.com/50cent,https://twitter.com/50cent,M,46.0,6/7/1975,African American,Music,Heterosexual,Connecticut
"Jason Statham,https://www.instagram.com/jasonstatham,https://www.facebook.com/JasonStatham,https://twitter.com/realjstatham,M,54,26/7/1967,Caucasian,""Acting, sport"",Heterosexual,Los Angeles",,,,,,,,,,
Kevinho,https://www.instagram.com/kevinho,https://www.facebook.com/oficialkevinho,https://twitter.com/kevinho,M,23.0,16/9/1998,Other(brazil),Music,heterosexual,Brasil
Floyd Mayweather,https://www.instagram.com/floydmayweather,https://www.facebook.com/floydmayweather,https://twitter.com/floydmayweather,M,44.0,24/2/1977,African American,Sport,heterosexual,Las Vegas
"ivan gunawan,https://www.instagram.com/ivan_gunawan,https://www.facebook.com/FashionGuruIvanGunawan/,https://twitter.com/ivangunawan1981,M,39,31/12/1981,asian,""Acting, Fashion"",homosexual,Jakarta",,,,,,,,,,
"Scott Disick,https://www.instagram.com/letthelordbewithyou,https://www.facebook.com/scottdisick/,https://twitter.com/scottdisick,M,38,26/5/1983,Caucasian,""Fashion, Acting"",heterosexual,Los Angeles",,,,,,,,,,
Donald J Trump,https://www.instagram.com/realdonaldtrump,https://www.facebook.com/DonaldTrump/,https://twitter.com/donaldtrump,M,75.0,14/6/1946,Caucasian,Politics,heterosexual,Florida
Shah Rukh Khan,https://www.instagram.com/iamsrk,https://www.facebook.com/IamSRK,https://twitter.com/iamsrk,M,56.0,2/11/1965,Indian,Acting,heterosexual,Delhi
Zach King,https://www.instagram.com/zachking,https://www.facebook.com/ZachKingVine,https://twitter.com/zachking,M,30.0,4/2/1991,Other,Movie,heterosexual,Los Angeles
Mesut Ozil,https://www.instagram.com/m10_official,https://www.facebook.com/mesutoezil,https://twitter.com/mesutozil1088?lang=it,M,33.0,15/10/1988,Other,Sport,heterosexual,London
DJ KHALED,https://www.instagram.com/djkhaled,https://www.facebook.com/officialdjkhaled,https://twitter.com/djkhaled,M,45.0,26/11/1975,Other,Music,heterosexual,Los Angeles
M S Dhoni,https://www.instagram.com/mahi7781,https://www.facebook.com/MSDhoni,https://twitter.com/msdhoni,M,40.0,7/7/1981,Indian,Sport,heterosexual,india
Bruno Mars,https://www.instagram.com/brunomars,https://www.facebook.com/brunomars/,https://twitter.com/brunomars,M,36.0,8/10/1985,Other,Music,heterosexual,Los Angeles
Liam Payne,https://www.instagram.com/liampayne,https://www.facebook.com/LiamPayne,https://twitter.com/liampayne,M,28.0,29/8/1993,Caucasian,Music,heterosexual,England
Sebastian Yatra,https://www.instagram.com/sebastianyatra,https://www.facebook.com/OficialSebastianYatra,https://twitter.com/sebastianyatra?lang=it,M,27.0,15/10/1994,Other(colombia),Music,heterosexual,Miami
Philippe Coutinho,https://www.instagram.com/phil.coutinho,,,M,29.0,12/6/1992,Other(brazil),Sport,heterosexual,Barcellona
Tiger Shroff,https://www.instagram.com/tigerjackieshroff,https://www.facebook.com/TigerShroff,https://twitter.com/itigershroff,M,31.0,2/3/1990,indian,Acting,heterosexual,mumbai
Rodrigo Faro,https://www.instagram.com/rodrigofaro,https://www.facebook.com/RodrigoHoradoFaro,https://twitter.com/rodrigofaro,M,48.0,20/10/1973,caucasian,Acting,heterosexual,Brasil
PewDiePie,https://www.instagram.com/pewdiepie/,https://www.facebook.com/PewDiePie/,https://twitter.com/pewdiepie,M,32.0,24/10/1989,caucasian,Youtuber/acting,heterosexual,england
Arnold Schwarzenegger,https://www.instagram.com/schwarzenegger,https://www.facebook.com/arnold,https://twitter.com/schwarzenegger,M,74.0,30/7/1947,caucasian,Acting,heterosexual,California
SEHUN,https://www.instagram.com/oohsehun/,https://www.facebook.com/SeHun.EXO,https://twitter.com/___oohsehun,M,27.0,12/4/1994,asian,Music,heterosexual,Seoul
Cameron Dallas,https://www.instagram.com/camerondallas,https://www.facebook.com/camerondallas,https://twitter.com/camerondallas,M,27.0,8/9/1994,caucasian,Acting,heterosexual,California
Meek Mill,https://www.instagram.com/meekmill,https://www.facebook.com/MeekMill/,https://twitter.com/meekmill,M,34.0,6/5/1987,African American,Music,heterosexual,Beverly hills
Kobe Bryant,https://www.instagram.com/kobebryant,https://www.facebook.com/Kobe/?ref=page_internal,https://twitter.com/kobebryant,M,43.0,23/8/1978,African American,Sport,heterosexual,California
Robert Lewandowski,https://www.instagram.com/_rl9,https://www.facebook.com/rl9official/,https://twitter.com/lewy_official,M,33.0,21/8/1988,caucasian,Sport,heterosexual,Germany
King Bach,https://www.instagram.com/kingbach,https://www.facebook.com/KingBach,https://twitter.com/kingbach,M,33.0,26/6/1988,African American,Acting,heterosexual,Los Angeles
BaekHyun,https://www.instagram.com/baekhyunee_exo,https://www.facebook.com/exokbyunbaekhyun,https://twitter.com/b_hundred_hyun,M,29.0,6/5/1992,asian,Music,heterosexual,south korea
Isco Alarcon Suarez,https://www.instagram.com/iscoalarcon,https://www.facebook.com/isco.alarcon.94849,https://twitter.com/isco_alarcon,M,29.0,21/4/1992,caucasian,Sport,heterosexual,Madrid
Khabib Nurmagomedov,https://www.instagram.com/khabib_nurmagomedov,https://www.facebook.com/KhabibTheEagle/,https://twitter.com/teamkhabib,M,33.0,20/9/1988,caucasian,Sport,heterosexual,Russia
"Gianluca Vacchi,https://www.instagram.com/gianlucavacchi,https://www.facebook.com/gianlucavacchiofficialpage,https://twitter.com/gianluca_vacchi,M,54,5/8/1967,caucasian,""Acting, Music"",heterosexual,Italy",,,,,,,,,,
Luciano Huck,https://www.instagram.com/lucianohuck,https://www.facebook.com/LucianoHuck,https://twitter.com/lucianohuck,M,50.0,3/9/1971,caucasian,Acting,heterosexual,Brasil
Bruno Gagliasso,https://www.instagram.com/brunogagliasso,https://www.facebook.com/brunogagliasso,https://twitter.com/brunogagliasso,M,39.0,13/4/1982,caucasian,Acting,heterosexual,Brasil
Ice Cube,https://www.instagram.com/icecube,https://www.facebook.com/IceCube/,https://twitter.com/icecube,M,52.0,15/6/1969,African American,Music,heterosexual,California
"fabio de melo,https://www.instagram.com/pefabiodemelo,https://www.facebook.com/PadreFabiodeMelo,https://twitter.com/pefabiodemelo,M,50,3/4/1971,caucasian,""Art, Acting"",,Brasil",,,,,,,,,,
Finn Wolfhard,https://www.instagram.com/finnwolfhardofficial,https://www.facebook.com/FinnWolfhardOfficial/,https://twitter.com/fwolfhardupdate,M,18.0,23/12/2002,caucasian,Acting,heterosexual,Vancouver
Alok,https://www.instagram.com/alok,https://www.facebook.com/livealok,https://twitter.com/alokoficial,M,30.0,26/8/1991,caucasian,Music,heterosexual,Brasil
Noah Centineo,https://www.instagram.com/ncentineo,,,M,25.0,9/5/1996,caucasian,Acting,heterosexual,Los Angeles
ian somerhalder,https://www.instagram.com/iansomerhalder,https://www.facebook.com/iansomerhalderofficial,https://twitter.com/iansomerhalder,M,42.0,8/12/1978,caucasian,Acting,heterosexual,Covingto (USA)
David Luiz,https://www.instagram.com/davidluiz_4,https://www.facebook.com/DavidLuizOfficial,https://twitter.com/davidluiz_4,M,34.0,22/4/1987,Other(brazil),Sport,heterosexual,London
Caio Castro,https://www.instagram.com/caiocastro,https://www.facebook.com/caiocastrooficial/,https://twitter.com/caiocastro,M,32.0,22/1/1989,Other(brazil),Acting,heterosexual,Brazil
Brent Rivera,https://www.instagram.com/brentrivera,https://www.facebook.com/brentrivera,https://twitter.com/brentrivera,M,23.0,9/1/1998,caucasian,Acting,heterosexual,California
Luisito Comunica,https://www.instagram.com/luisitocomunica,https://www.facebook.com/LuisitoComunica,https://twitter.com/luisitocomunica,M,30.0,20/3/1991,other(mexico),Youtuber/acting,heterosexual,Venezuela
OZUNA,https://www.instagram.com/ozuna,https://www.facebook.com/ozunapr,https://twitter.com/ozuna,M,29.0,13/3/1992,African American,Acting/Music,heterosexual,Miami
Logan Paul,https://www.instagram.com/loganpaul,https://www.facebook.com/LoganPaul/,https://twitter.com/loganpaul,M,26.0,1/4/1995,caucasian,Acting/youtuber,heterosexual,Los Angeles
Jimmy Fallon,https://www.instagram.com/jimmyfallon,https://www.facebook.com/JimmyFallon,https://twitter.com/jimmyfallon,M,47.0,9/9/1974,caucasian,Acting/Music,heterosexual,manhattan
Gerard Pique,https://www.instagram.com/3gerardpique,https://www.facebook.com/3GerardPique,https://twitter.com/3gerardpique,M,34.0,2/2/1987,caucasian,Sport,heterosexual,Madrid
Luka Modric,https://www.instagram.com/lukamodric10,https://www.facebook.com/ModricLuka10,https://twitter.com/lukamodric10,M,36.0,9/9/1985,caucasian,Sport,heterosexual,Madrid
Romeo Santos,https://www.instagram.com/romeosantos,https://www.facebook.com/RomeoSantosOfficial,https://twitter.com/romeosantospage,M,40.0,21/7/1981,African American,Music,heterosexual,Los Angeles
Ronaldo,https://www.instagram.com/ronaldo,https://www.facebook.com/ronaldo,https://twitter.com/ronaldo,M,45.0,18/9/1976,Other(brazil),Sport,heterosexual,Brazil
James Charles,https://www.instagram.com/jamescharles,https://www.facebook.com/JamesCharles/,https://twitter.com/jamescharles,M,22.0,23/5/1999,caucasian,Model/youtuber,homosexual,Los Angeles
Lil Pump Jetski,https://www.instagram.com/lilpump,https://www.facebook.com/lilpumpofficial,https://twitter.com/lilpump,M,21.0,17/8/2000,other,Music,heterosexual,Miami
Hugo Gloss,https://www.instagram.com/hugogloss,https://www.facebook.com/HugoGloss/,https://twitter.com/hugogloss,M,35.0,27/11/1985,Other(brazil),Journalism/youtuber/acting,,Brazil
Mark Ruffalo,https://www.instagram.com/markruffalo,https://www.facebook.com/MarkRuffalo,https://twitter.com/markruffalo,M,53.0,22/11/1967,caucasian,Acting,heterosexual,Hollywood
dwyanewade,https://www.instagram.com/dwyanewade,https://www.facebook.com/dwyanewade,https://twitter.com/dwyanewade,M,39.0,17/1/1982,African American,Sport,heterosexual,Miami
Ivan Rakitic,https://www.instagram.com/ivanrakitic,https://www.facebook.com/rakitic.ivan.official,https://twitter.com/ivanrakitic,M,33.0,10/3/1988,caucasian,Sport,heterosexual,Barcellona
Louis Tomlinson,https://www.instagram.com/louis_tomlinson,https://www.facebook.com/louis.tomlinson,https://twitter.com/louis_tomlinson,M,30.0,24/1/1991,caucasian,Music,heterosexual,Los Angeles
Verrell Bramasta Fadilla,https://www.instagram.com/bramastavrl,,https://twitter.com/bramastaverrell,M,25.0,11/9/1996,asian,Acting,heterosexual,Indonesia
Jackson Wang,https://www.instagram.com/jacksonwang852g7,https://www.facebook.com/jacksonwang852g7,https://twitter.com/jacksonwang852,M,27.0,28/3/1994,asian,Music,heterosexual,Los Angeles
Kaka,https://www.instagram.com/kaka,https://www.facebook.com/Kaka/,https://twitter.com/kaka,M,39.0,22/4/1982,caucasian,Music,heterosexual,USA
Burak Ozcivit,https://www.instagram.com/burakozcivit,https://www.facebook.com/burakozcivit,https://twitter.com/burakozcivit,M,36.0,24/12/1984,caucasian,Acting,heterosexual,Instanbul
Channing Tatum,https://www.instagram.com/channingtatum,https://www.facebook.com/channingtatum,https://twitter.com/channingtatum,M,41.0,26/4/1980,caucasian,Acting,heterosexual,Los Angeles
carlinhos maia,https://www.instagram.com/carlinhosmaiaof,https://www.facebook.com/carlinhosmaiaof,https://twitter.com/carlinhosmaiaof,M,30.0,12/6/1991,Other(brazil),Acting,homosexual,Brazil
Shaquille O'Neal,https://www.instagram.com/shaq,https://www.facebook.com/shaq,https://twitter.com/shaq,M,49.0,6/3/1972,African American,Sport,heterosexual,Florida
Iker Casillas,https://www.instagram.com/ikercasillas,https://www.facebook.com/Iker.Casillas,https://twitter.com/ikercasillas,M,40.0,20/5/1981,caucasian,Sport,heterosexual,Madrid
Kartik Tiwari,https://www.instagram.com/kartikaaryan,,https://twitter.com/theaaryankartik,M,30.0,22/11/1990,indian,Acting,heterosexual,mumbai
Quavo Marshall,https://www.instagram.com/quavohuncho,https://www.facebook.com/migos.quavoyrn,https://twitter.com/quavostuntin,M,30.0,2/4/1991,African American,Music,heterosexual,Georgia
Noah Schnapp,https://www.instagram.com/noahschnapp,https://www.facebook.com/noahschnapp/,https://twitter.com/noah_schnapp,M,17.0,3/10/2004,caucasian,Acting,heterosexual,New York
